step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
36,67.8,63.5,70.2,67.7,67.8,67.8,63.4,67.8,0.008,-0.002,9.787,2.098,-60.851,103.751,1.17,0.0,3.165,1.112,rough,0.0,0.0,67.8,63.4,0.0424,0.0049,-0.719,ok,avanzando en rough
37,64.3,64.9,67.4,67.2,69.9,71.1,64.1,65.9,1.197,-0.001,9.783,-7.14,-4838.744,88.152,1.189,0.0502,3.215,1.162,rough,0.0,7.0,64.3,64.1,0.0432,0.0043,-0.663,ok,avanzando en rough
38,66.8,68.0,72.4,69.0,71.6,67.4,68.6,67.5,0.116,-0.001,9.818,-6.048,2385.657,69.613,1.082,0.0502,3.266,1.212,rough,0,0.7,66.8,68.0,0.044,0.0037,-0.618,ok,avanzando en rough
39,61.0,67.4,72.8,66.6,64.2,56.2,70.7,63.8,0.004,-0.001,9.78,-6.293,2563.762,56.19,0.118,0.0502,3.316,1.262,metal,0,0.0,61.0,67.4,0.0449,0.0031,-0.582,ok,avanzando en metal
40,60.4,69.7,71.5,71.2,66.1,71.1,64.1,62.2,1.547,-0.002,9.785,-9.487,-4106.867,46.49,1.543,0.1225,3.435,1.388,rough,0,9.0,60.4,64.1,0.0469,0.0019,-0.55,ok,avanzando en rough
41,70.3,70.9,67.2,64.4,67.9,66.3,63.3,63.3,-1.319,-0.001,9.803,1.228,2941.618,36.574,2.866,0.0502,3.485,1.438,rough,0.0,7.7,63.3,63.3,0.0478,0.0014,-0.527,ok,avanzando en rough
42,64.8,66.1,65.4,72.0,65.8,74.6,68.6,63.2,-0.074,-0.001,9.835,2.164,3056.701,29.357,1.245,0.0502,3.536,1.488,rough,0.0,0.4,63.2,66.1,0.0487,0.0009,-0.508,ok,avanzando en rough
43,69.5,72.4,65.4,68.4,69.4,68.2,68.3,69.1,-0.011,-0.001,9.754,2.816,-1509.293,22.733,0.102,0.0502,3.586,1.539,metal,0,0.1,69.1,68.3,0.0496,0.0004,-0.493,ok,avanzando en metal
44,70.0,67.7,74.5,64.1,69.5,66.9,67.4,61.3,1.706,-0.001,9.728,2.042,-8160.731,19.387,1.718,0.1193,3.705,1.658,rough,0.01,9.9,61.3,67.4,0.0517,-0.0007,-0.481,ok,avanzando en rough
45,69.5,65.9,69.9,64.1,66.5,67.3,66.8,64.9,-1.21,-0.001,9.817,3.164,4079.07,14.741,2.918,0.0502,3.755,1.708,rough,0.0,7.0,64.9,65.9,0.0526,-0.0012,-0.471,ok,explorando (rough)
