step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
1213,64.0,59.8,64.0,66.2,67.6,67.0,71.6,64.5,1.538,-0.001,9.808,-8.432,-4363.7,39.06,1.559,0.1193,71.969,74.619,rough,0.01,8.9,64.0,59.8,1.0198,-0.1063,0.668,ok,avanzando en rough
1214,68.6,70.7,69.7,71.2,65.5,70.5,67.2,59.5,-1.323,-0.001,9.739,0.829,2689.315,30.827,2.861,0.0502,72.019,74.669,rough,0,7.7,59.5,67.2,1.0206,-0.1056,0.687,ok,avanzando en rough
1215,66.2,68.2,68.0,66.7,59.6,71.1,70.4,69.9,-0.069,-0.001,9.828,1.683,2789.725,24.675,1.257,0.0502,72.069,74.719,rough,0,0.4,66.2,68.2,1.0214,-0.105,0.703,ok,avanzando en rough
1216,70.5,64.6,63.7,69.3,68.5,68.1,65.2,70.5,-0.058,-0.001,9.81,3.623,-250.502,19.363,0.02,0.0502,72.12,74.77,carpet,0.0,0.3,70.5,64.6,1.0221,-0.1043,0.716,ok,avanzando en carpet
1217,67.0,69.7,69.2,68.0,66.5,64.7,64.2,66.8,1.137,-0.001,9.799,1.537,-5083.709,16.008,1.196,0.1005,72.22,74.87,rough,0,6.6,66.8,64.2,1.0236,-0.103,0.726,ok,avanzando en rough
1218,64.1,70.3,64.2,63.4,70.2,67.0,67.2,66.7,-0.929,-0.001,9.869,2.273,2537.704,12.228,2.067,0.0502,72.27,74.92,rough,0,5.4,64.1,67.2,1.0244,-0.1023,0.734,ok,avanzando en rough
1219,62.1,66.0,64.8,67.8,68.6,70.3,64.4,70.4,-0.061,-0.001,9.852,3.007,2628.086,9.737,0.868,0.0502,72.32,74.971,rough,0,0.4,62.1,64.4,1.0251,-0.1016,0.74,ok,avanzando en rough
1220,64.6,59.3,66.3,73.6,69.2,61.7,67.4,67.1,-0.052,-0.001,9.813,3.18,-217.618,7.421,0.04,0.0502,72.371,75.021,carpet,0,0.3,64.6,59.3,1.0259,-0.101,0.745,ok,avanzando en carpet
1221,65.0,70.4,69.4,66.1,67.3,74.1,66.4,70.2,1.141,-0.001,9.799,2.14,-5045.544,6.171,1.194,0.1005,72.471,75.121,rough,0.0,6.6,65.0,66.4,1.0273,-0.0996,0.749,ok,avanzando en rough
1222,66.1,71.1,69.3,69.1,72.8,69.1,66.9,76.5,-0.928,-0.0,9.827,1.591,2506.513,3.985,2.07,0.0502,72.521,75.172,rough,0,5.4,66.1,66.9,1.0281,-0.0989,0.751,ok,avanzando en rough
1223,63.4,70.0,67.8,69.1,66.0,62.7,64.4,63.8,-0.055,-0.001,9.846,2.151,2608.536,3.232,0.873,0.0502,72.572,75.222,rough,0,0.3,63.4,64.4,1.0288,-0.0982,0.753,ok,avanzando en rough
1224,64.1,66.1,74.8,64.1,66.1,69.4,69.7,63.6,-0.048,-0.0,9.832,1.946,-187.297,2.175,0.017,0.0502,72.622,75.272,carpet,0,0.3,63.6,66.1,1.0295,-0.0975,0.755,ok,avanzando en carpet
1225,62.1,65.7,65.6,65.6,68.9,65.7,67.7,64.6,1.144,-0.0,9.821,1.474,-4979.87,1.668,1.192,0.1005,72.722,75.373,rough,0.0,6.6,62.1,65.7,1.031,-0.0961,0.756,ok,avanzando en rough
1226,66.1,68.2,66.7,64.5,67.6,68.0,68.7,69.8,-0.926,-0.0,9.78,0.888,2497.547,0.767,2.071,0.0502,72.773,75.423,rough,0,5.4,66.1,68.2,1.0317,-0.0955,0.756,ok,avanzando en rough
1227,66.3,68.3,66.1,64.4,64.9,67.1,71.7,69.6,-0.05,-0.0,9.811,1.219,2581.654,0.813,0.876,0.0502,72.823,75.473,rough,0,0.3,66.3,68.3,1.0324,-0.0948,0.757,ok,avanzando en rough
1228,63.7,67.6,71.1,72.3,64.0,66.7,60.2,69.2,-0.044,-0.0,9.78,1.027,-162.94,0.458,0.032,0.0502,72.873,75.523,carpet,0,0.3,63.7,60.2,1.0332,-0.0941,0.757,ok,avanzando en carpet
1229,69.0,68.0,62.7,66.9,71.6,69.3,72.2,68.0,1.143,-0.0,9.805,0.819,-4972.358,0.428,1.187,0.1005,72.974,75.624,rough,0,6.7,68.0,68.0,1.0346,-0.0927,0.757,ok,avanzando en rough
1230,69.0,67.3,67.1,70.1,71.5,68.7,65.1,69.7,-0.92,-0.0,9.821,0.448,2493.253,0.069,2.063,0.0502,73.024,75.674,rough,0,5.4,69.0,65.1,1.0354,-0.092,0.757,ok,avanzando en rough
1231,71.6,72.0,65.7,60.5,67.4,70.0,66.7,63.7,-0.047,-0.0,9.862,0.607,2573.369,0.254,0.874,0.0502,73.074,75.724,rough,0.0,0.3,63.7,66.7,1.0361,-0.0913,0.758,ok,explorando (rough)
1232,66.6,70.3,67.8,66.3,69.0,68.9,69.2,71.0,0.003,-0.003,9.804,0.764,120.328,-84.661,0.077,0.0031,72.415,76.39,sand,0.0,0.0,66.6,69.2,1.0361,-0.0913,1.203,ok,avanzando en sand
1233,59.4,64.9,68.2,67.1,64.0,60.4,66.3,63.6,1.659,0.0,9.79,10.895,-6622.196,-73.19,1.657,0.0691,72.484,76.459,rough,0.018,9.6,59.4,64.9,1.0367,-0.09,1.156,ok,avanzando en rough
1234,68.5,71.4,63.2,71.2,62.8,68.7,68.5,63.3,-0.251,-0.0,9.829,5.197,3290.335,-60.751,1.911,0.0502,72.534,76.509,rough,0,1.5,63.3,68.5,1.0371,-0.0891,1.117,ok,avanzando en rough
1235,63.8,65.6,69.6,67.6,70.0,64.6,71.2,65.3,-0.006,0.0,9.916,6.351,3505.596,-47.861,0.26,0.0502,72.584,76.559,metal,0.0,0.0,63.8,65.6,1.0376,-0.0882,1.086,ok,avanzando en metal
1236,65.2,68.4,70.1,71.3,72.3,67.5,69.3,66.1,1.509,0.001,9.736,8.844,-3187.856,-41.188,1.526,0.1193,72.704,76.679,rough,0.01,8.8,65.2,68.4,1.0388,-0.0861,1.06,ok,avanzando en rough
1237,63.2,60.5,64.5,69.2,67.1,68.0,66.2,68.0,-1.407,0.001,9.771,-0.3,3775.358,-30.25,2.916,0.0502,72.754,76.729,rough,0,8.2,63.2,60.5,1.0393,-0.0852,1.041,ok,explorando (rough)
1238,63.1,67.5,66.7,67.1,66.9,66.9,68.5,64.1,0.001,0.0,9.808,1.144,-169.338,96.899,1.409,0.0031,73.419,76.07,rough,0.0,0.0,63.1,67.5,1.0393,-0.0852,0.603,ok,avanzando en rough
1239,67.5,63.6,75.5,68.1,66.8,67.8,71.8,66.8,1.193,0.0,9.802,-6.774,-4960.669,77.053,1.192,0.0502,73.47,76.12,rough,0.0,6.9,66.8,63.6,1.0401,-0.0846,0.653,ok,avanzando en rough
1240,66.5,73.9,70.3,66.5,71.3,70.4,72.3,63.4,0.107,-0.001,9.769,-5.685,2453.477,60.768,1.087,0.0502,73.52,76.17,rough,0,0.6,63.4,72.3,1.0409,-0.084,0.691,ok,avanzando en rough
1241,68.1,68.2,68.4,66.2,65.8,63.9,70.1,68.3,-0.007,-0.001,9.834,-6.044,2630.905,48.777,0.131,0.0502,73.57,76.22,metal,0,0.0,68.1,68.2,1.0416,-0.0833,0.723,ok,explorando (metal)
1242,69.8,69.9,64.9,64.2,65.8,65.7,72.3,69.6,0.015,0.002,9.821,0.883,-569.454,-91.851,0.026,-0.0031,72.905,76.88,sand,0.0,0.1,69.6,69.9,1.0416,-0.0834,1.163,ok,explorando (sand)
1243,69.9,67.1,67.9,67.2,64.8,70.0,65.1,66.5,-0.011,0.002,9.87,-0.716,-22.242,-112.944,0.055,0.0031,72.245,77.545,sand,0.0,0.1,66.5,65.1,1.0416,-0.0833,1.591,ok,avanzando en sand
1244,65.2,65.9,74.7,69.4,74.3,62.6,65.2,63.6,1.645,0.001,9.804,12.38,-6803.75,-89.372,1.658,0.0691,72.314,77.615,rough,0.018,9.5,63.6,65.2,1.0417,-0.0819,1.533,ok,avanzando en rough
1245,70.0,68.9,68.2,61.5,67.5,64.1,63.8,67.4,-0.257,0.0,9.802,6.078,3355.03,-71.832,1.903,0.0502,72.364,77.665,rough,0,1.5,67.4,63.8,1.0417,-0.0809,1.487,ok,avanzando en rough
1246,64.3,68.7,65.7,64.7,70.2,69.7,71.5,66.4,-0.016,0.001,9.821,7.313,3569.519,-58.361,0.242,0.0502,72.415,77.715,metal,0,0.1,64.3,68.7,1.0419,-0.0799,1.45,ok,avanzando en metal
1247,64.7,65.0,65.9,65.8,63.4,67.4,63.6,63.4,1.493,0.002,9.833,10.472,-3138.637,-51.54,1.509,0.1193,72.534,77.834,rough,0.01,8.6,63.4,63.6,1.0422,-0.0776,1.417,ok,avanzando en rough
1248,67.9,66.1,61.1,62.6,64.5,68.2,71.2,69.8,-1.415,0.001,9.821,-0.919,3814.802,-38.72,2.909,0.0502,72.584,77.885,rough,0.0,8.2,67.9,66.1,1.0424,-0.0766,1.392,ok,explorando (rough)
1249,70.9,63.5,69.8,67.4,68.7,61.9,71.5,64.8,-0.002,-0.002,9.832,-4.947,260.409,-58.937,1.413,0.0,72.283,78.186,rough,0.0,0.0,64.8,63.5,1.0424,-0.0766,1.582,ok,avanzando en rough
1250,66.8,70.0,66.7,67.4,63.6,68.6,66.4,68.4,1.166,0.0,9.8,0.849,-4548.039,-47.981,1.168,0.0502,72.333,78.236,rough,0,6.8,66.8,66.4,1.0424,-0.0756,1.551,ok,avanzando en rough
1251,63.2,62.3,64.4,64.9,71.5,67.6,65.4,66.5,0.091,0.001,9.836,1.595,2245.035,-37.434,1.075,0.0502,72.383,78.286,rough,0,0.5,63.2,62.3,1.0425,-0.0746,1.527,ok,avanzando en rough
1252,69.0,69.9,69.4,68.4,68.9,79.0,67.6,66.3,-0.012,0.001,9.757,1.015,2399.558,-30.274,0.13,0.0502,72.434,78.337,metal,0,0.1,66.3,67.6,1.0425,-0.0736,1.508,ok,avanzando en metal
1253,64.9,62.2,64.3,61.5,72.1,65.6,65.2,69.9,1.543,0.001,9.796,3.109,-4281.206,-24.529,1.556,0.1193,72.553,78.456,rough,0.01,9.0,64.9,62.2,1.0427,-0.0712,1.492,ok,avanzando en rough
1254,70.5,69.1,63.3,71.7,66.6,62.3,72.7,69.7,-1.317,0.001,9.81,-2.31,2744.219,-19.2,2.861,0.0502,72.603,78.506,rough,0,7.6,69.7,69.1,1.0428,-0.0702,1.48,ok,avanzando en rough
1255,66.6,61.5,68.3,65.0,71.5,73.7,66.4,64.3,-0.065,0.001,9.836,-2.483,2852.638,-15.384,1.253,0.0502,72.653,78.557,rough,0.0,0.4,64.3,61.5,1.0429,-0.0692,1.47,ok,avanzando en rough
1256,69.0,64.9,68.7,72.8,69.2,63.2,65.0,69.2,-0.055,0.001,9.84,-3.393,-233.256,-12.036,0.011,0.0502,72.704,78.607,carpet,0.0,0.3,69.0,64.9,1.043,-0.0682,1.462,ok,avanzando en carpet
1257,68.9,65.1,67.2,64.4,63.8,66.8,69.3,67.3,1.136,0.001,9.802,-1.919,-5039.0,-9.912,1.192,0.1005,72.804,78.707,rough,0,6.6,67.3,65.1,1.0433,-0.0662,1.456,ok,avanzando en rough
1258,67.3,64.9,63.2,68.2,74.1,69.4,69.1,64.5,-0.933,0.001,9.799,-1.882,2526.056,-7.472,2.069,0.0502,72.854,78.757,rough,0,5.4,64.5,64.9,1.0434,-0.0652,1.451,ok,avanzando en rough
1259,65.7,63.9,70.9,67.4,64.5,73.7,67.7,70.3,-0.059,0.001,9.834,-2.519,2622.638,-5.866,0.875,0.0502,72.905,78.808,rough,0,0.3,65.7,63.9,1.0435,-0.0642,1.447,ok,avanzando en rough
1260,65.3,67.6,68.2,63.5,68.3,67.9,67.3,68.1,-0.05,0.001,9.791,-2.463,-203.542,-4.509,0.044,0.0502,72.955,78.858,carpet,0.0,0.3,65.3,67.3,1.0436,-0.0632,1.444,ok,avanzando en carpet
1261,64.2,65.8,65.6,70.4,68.1,61.8,67.0,64.6,1.144,0.0,9.775,-1.755,-5032.63,-3.641,1.194,0.1005,73.055,78.958,rough,0.0,6.7,64.2,65.8,1.0439,-0.0612,1.442,ok,avanzando en rough
1262,69.3,67.3,66.1,70.3,71.3,71.6,65.2,72.2,-0.928,0.0,9.8,-1.189,2492.948,-2.159,2.073,0.0502,73.105,79.009,rough,0,5.4,69.3,65.2,1.044,-0.0602,1.441,ok,avanzando en rough
1263,67.5,67.2,60.0,63.6,71.3,65.3,63.7,61.9,-0.053,0.0,9.823,-1.596,2592.557,-1.781,0.875,0.0502,73.156,79.059,rough,0,0.3,61.9,63.7,1.0442,-0.0592,1.44,ok,avanzando en rough
1264,67.7,69.7,65.0,66.8,69.6,64.6,71.5,72.8,-0.046,0.0,9.825,-1.393,-175.866,-1.138,0.008,0.0502,73.206,79.109,carpet,0,0.3,67.7,69.7,1.0443,-0.0582,1.439,ok,avanzando en carpet
1265,63.3,65.5,64.7,62.6,66.4,69.0,65.7,65.1,1.148,0.0,9.831,-1.091,-4974.387,-0.899,1.193,0.1005,73.306,79.21,rough,0.0,6.7,63.3,65.5,1.0445,-0.0562,1.438,ok,avanzando en rough
1266,66.3,68.7,72.2,65.7,66.6,67.2,71.7,64.8,-0.924,0.0,9.87,-0.634,2495.368,-0.267,2.072,0.0502,73.357,79.26,rough,0,5.3,64.8,68.7,1.0447,-0.0552,1.438,ok,avanzando en rough
1267,62.6,64.3,67.4,66.8,60.4,75.4,68.1,68.6,-0.049,0.0,9.789,-0.851,2568.952,-0.413,0.879,0.0502,73.407,79.31,rough,0,0.3,62.6,64.3,1.0448,-0.0542,1.438,ok,avanzando en rough
1268,70.1,66.5,69.4,65.3,68.6,67.9,69.3,64.4,-0.043,0.0,9.81,-0.698,-154.791,-0.25,0.022,0.0502,73.457,79.36,carpet,0,0.2,64.4,66.5,1.0449,-0.0532,1.438,ok,avanzando en carpet
1269,67.0,74.2,67.4,70.7,57.1,65.1,70.4,67.1,1.149,0.0,9.764,-0.568,-4977.791,-0.265,1.192,0.1005,73.558,79.461,rough,0,6.7,67.0,70.4,1.0452,-0.0512,1.437,ok,avanzando en rough
1270,63.7,59.4,69.3,67.8,64.5,65.3,65.4,59.8,-0.922,0.0,9.806,-0.314,2465.513,0.032,2.071,0.0502,73.608,79.511,rough,0.0,5.4,59.8,59.4,1.0453,-0.0502,1.438,ok,avanzando en rough
1271,75.5,66.9,70.1,70.8,69.2,68.5,68.1,68.5,-0.046,0.0,9.806,-0.407,2564.094,-0.138,0.876,0.0502,73.658,79.561,rough,0.0,0.3,68.5,66.9,1.0455,-0.0492,1.437,ok,avanzando en rough
1272,72.6,62.9,68.7,61.7,63.5,74.3,60.0,65.3,-0.04,0.0,9.795,-0.316,-139.451,-0.107,0.012,0.0502,73.708,79.612,carpet,0,0.2,65.3,60.0,1.0456,-0.0482,1.437,ok,avanzando en carpet
1273,66.1,63.8,64.0,68.7,67.6,64.0,63.1,69.5,1.149,0.0,9.839,-0.267,-4997.698,-0.08,1.19,0.1005,73.809,79.712,rough,0,6.7,66.1,63.1,1.0459,-0.0463,1.437,ok,avanzando en rough
1274,63.8,66.8,70.5,72.4,71.6,61.8,69.3,66.1,-0.918,0.0,9.785,-0.15,2487.717,0.038,2.068,0.0502,73.859,79.762,rough,0,5.4,63.8,66.8,1.046,-0.0453,1.437,ok,explorando (rough)
1275,69.5,67.8,66.6,68.0,65.4,73.4,63.3,68.4,0.014,0.004,9.827,-3.984,47.306,85.721,0.933,0.0031,74.525,79.103,rough,0.0,0.1,68.4,63.3,1.0461,-0.0452,0.993,ok,explorando (rough)
1276,65.6,69.5,66.1,60.4,75.5,62.7,71.0,67.1,-0.011,-0.003,9.827,-0.199,-33.655,113.202,0.026,-0.0031,75.184,78.437,sand,0.0,0.1,65.6,69.5,1.046,-0.0452,0.566,ok,explorando (sand)
1277,69.2,69.3,65.0,62.9,64.3,64.0,68.1,68.2,0.006,0.001,9.774,-0.618,-29.224,104.469,0.056,0.0,75.486,78.136,sand,0.0,0.0,68.2,68.1,1.046,-0.0452,0.405,ok,avanzando en sand
1278,64.7,71.7,67.7,67.0,63.3,70.6,68.0,67.0,1.663,-0.001,9.819,-12.286,-6768.312,82.241,1.657,0.0691,75.555,78.205,rough,0.018,9.6,64.7,68.0,1.0472,-0.0446,0.458,ok,avanzando en rough
1279,67.3,71.7,61.9,62.9,66.6,62.8,66.7,61.9,-0.245,-0.0,9.789,-5.888,3336.912,66.209,1.908,0.0502,75.605,78.255,rough,0,1.4,61.9,66.7,1.0481,-0.0441,0.5,ok,avanzando en rough
1280,69.3,63.4,66.7,65.7,68.1,62.8,68.9,71.4,-0.002,-0.001,9.827,-7.358,3563.236,53.384,0.245,0.0502,75.655,78.305,metal,0.0,0.0,69.3,63.4,1.049,-0.0436,0.535,ok,avanzando en metal
1281,67.9,61.7,68.0,74.8,64.9,70.2,67.2,64.8,1.498,-0.001,9.838,-10.095,-3113.454,44.105,1.501,0.1225,75.774,78.431,rough,0,8.7,64.8,61.7,1.0511,-0.0423,0.565,ok,avanzando en rough
1282,68.9,69.5,67.6,65.0,62.6,63.3,63.6,69.9,-1.415,-0.001,9.793,0.324,3851.501,35.09,2.914,0.0502,75.825,78.481,rough,0,8.2,68.9,63.6,1.0519,-0.0418,0.588,ok,avanzando en rough
1283,65.4,72.2,63.6,67.9,71.5,62.8,66.7,69.8,0.046,-0.001,9.797,2.62,-1893.608,27.22,1.461,0.0502,75.875,78.531,rough,0,0.3,65.4,66.7,1.0527,-0.0412,0.605,ok,avanzando en rough
1284,66.0,69.4,68.4,65.2,63.3,65.9,69.0,62.7,0.041,-0.001,9.838,4.165,156.868,22.037,0.041,0.0502,75.925,78.582,carpet,0.0,0.2,62.7,69.0,1.0535,-0.0406,0.619,ok,avanzando en carpet
1285,67.9,66.8,67.9,69.9,71.3,65.1,70.7,74.7,1.025,-0.001,9.831,1.944,117.461,18.893,0.984,0.1005,76.026,78.682,rough,0.0,6.0,67.9,66.8,1.0552,-0.0394,0.631,ok,avanzando en rough
1286,71.2,66.7,69.7,71.3,63.9,65.7,69.8,70.7,-1.152,-0.001,9.793,2.829,4942.955,14.264,2.177,0.0502,76.076,78.732,rough,0,6.7,70.7,66.7,1.056,-0.0388,0.64,ok,avanzando en rough
1287,60.6,66.7,64.6,66.5,69.5,73.2,71.7,71.3,-0.07,-0.001,9.81,2.4,-2449.836,10.262,1.082,0.0502,76.126,78.783,rough,0,0.4,60.6,66.7,1.0568,-0.0382,0.647,ok,avanzando en rough
1288,68.3,67.6,71.2,64.6,65.0,68.3,69.1,64.1,0.037,-0.001,9.844,3.483,-2536.411,8.048,0.112,0.0502,76.176,78.833,metal,0,0.2,64.1,67.6,1.0576,-0.0376,0.652,ok,avanzando en metal
1289,72.2,66.8,59.8,68.0,66.8,65.1,67.8,69.0,1.409,-0.001,9.831,2.224,72.062,6.732,1.372,0.1225,76.302,78.952,rough,0,8.2,69.0,66.8,1.0595,-0.0361,0.654,ok,avanzando en rough
1290,65.8,65.8,73.7,71.4,66.9,65.3,74.0,68.4,-1.627,-0.001,9.791,2.449,6806.002,4.307,3.036,0.0502,76.352,79.002,rough,0.0,9.4,65.8,65.8,1.0603,-0.0355,0.657,ok,avanzando en rough
1291,69.5,63.5,67.0,64.1,70.0,67.7,67.6,69.5,-0.11,-0.0,9.758,1.618,-3366.891,2.361,1.517,0.0502,76.402,79.053,rough,0,0.6,69.5,63.5,1.0611,-0.0349,0.658,ok,avanzando en rough
1292,60.9,66.3,63.1,64.6,65.0,60.4,69.4,64.2,0.037,-0.001,9.771,2.222,-3508.839,2.025,0.148,0.0502,76.453,79.103,metal,0,0.2,60.9,66.3,1.0619,-0.0343,0.66,ok,avanzando en metal
1293,65.2,66.5,67.3,63.2,69.5,68.4,66.3,64.7,1.34,-0.0,9.782,0.923,1699.682,1.613,1.302,0.1193,76.572,79.222,rough,0.01,7.8,64.7,66.3,1.0638,-0.0328,0.661,ok,avanzando en rough
1294,67.4,74.2,66.9,71.3,68.5,69.7,68.3,68.7,-1.407,-0.001,9.829,1.741,-57.999,0.573,2.747,0.0502,76.622,79.272,rough,0,8.1,67.4,68.3,1.0646,-0.0322,0.661,ok,avanzando en rough
1295,70.3,67.4,66.5,67.0,70.4,65.6,64.5,68.1,-0.028,-0.0,9.735,1.4,-96.129,0.635,1.382,0.0502,76.673,79.323,rough,0,0.2,68.1,64.5,1.0654,-0.0316,0.661,ok,avanzando en rough
1296,62.0,68.7,70.9,67.0,69.7,71.2,69.5,68.4,-0.022,-0.0,9.786,1.156,-131.055,0.444,0.051,0.0502,76.723,79.373,carpet,0.0,0.1,62.0,68.7,1.0662,-0.031,0.662,ok,avanzando en carpet
1297,62.5,64.6,68.7,69.3,64.4,66.1,66.3,65.8,1.166,-0.0,9.78,0.94,-4918.113,0.361,1.188,0.1005,76.823,79.473,rough,0,6.8,62.5,64.6,1.0677,-0.0297,0.662,ok,avanzando en rough
1298,66.2,65.0,65.0,74.3,67.7,67.3,64.8,64.9,-0.902,-0.0,9.83,0.501,2464.746,-0.001,2.069,0.0502,76.873,79.524,rough,0,5.2,64.9,64.8,1.0685,-0.0291,0.662,ok,avanzando en rough
1299,64.0,70.0,69.7,68.4,67.5,68.2,70.8,68.8,-0.027,-0.0,9.802,0.678,2571.711,0.251,0.876,0.0502,76.924,79.574,rough,0,0.2,64.0,70.0,1.0693,-0.0285,0.662,ok,avanzando en rough
1300,63.9,68.4,67.9,61.8,65.6,63.7,65.8,68.6,-0.025,-0.0,9.814,0.537,-50.915,0.17,0.012,0.0502,76.974,79.624,carpet,0,0.1,63.9,65.8,1.0701,-0.0279,0.662,ok,avanzando en carpet
1301,71.8,64.6,71.8,67.1,65.9,64.7,68.6,67.5,1.156,-0.0,9.802,0.453,-4839.447,0.169,1.181,0.1005,77.074,79.725,rough,0.0,6.7,67.5,64.6,1.0717,-0.0266,0.662,ok,avanzando en rough
1302,59.7,63.4,64.5,66.9,67.2,61.6,61.7,65.7,-0.902,-0.0,9.78,0.234,2422.324,0.036,2.059,0.0502,77.125,79.775,rough,0,5.3,59.7,61.7,1.0725,-0.026,0.662,ok,avanzando en rough
1303,62.7,61.4,64.3,64.2,70.8,69.6,64.8,71.5,-0.029,-0.0,9.845,0.305,2525.456,0.049,0.876,0.0502,77.175,79.825,rough,0,0.2,62.7,61.4,1.0733,-0.0254,0.662,ok,avanzando en rough
1304,67.2,64.8,68.0,62.2,69.3,63.4,68.4,69.6,-0.027,-0.0,9.754,0.229,-61.627,0.031,0.091,0.0502,77.225,79.875,carpet,0,0.2,67.2,64.8,1.0741,-0.0248,0.662,ok,avanzando en carpet
1305,73.8,69.0,68.4,64.4,60.2,66.2,71.6,64.0,1.157,-0.0,9.845,0.199,-4845.502,0.023,1.188,0.1005,77.326,79.976,rough,0.0,6.7,64.0,69.0,1.0757,-0.0235,0.662,ok,avanzando en rough
1306,74.3,65.0,69.5,68.0,67.0,66.0,66.6,67.8,-0.91,-0.0,9.808,0.103,2433.136,-0.04,2.068,0.0502,77.376,80.026,rough,0.0,5.3,67.8,65.0,1.0765,-0.0229,0.662,ok,avanzando en rough
1307,66.3,60.2,64.6,65.6,67.3,67.3,66.1,63.3,-0.031,-0.0,9.756,0.125,2536.317,-0.007,0.881,0.0502,77.426,80.076,rough,0,0.2,63.3,60.2,1.0772,-0.0223,0.662,ok,avanzando en rough
1308,65.3,65.5,64.9,68.4,69.9,65.7,60.0,69.7,-0.028,-0.0,9.867,0.09,-69.132,-0.0,0.111,0.0502,77.476,80.127,metal,0,0.2,65.3,60.0,1.078,-0.0217,0.662,ok,avanzando en metal
1309,72.3,68.2,72.2,67.7,63.3,67.6,64.1,69.4,1.625,-0.0,9.762,0.084,-6764.542,-0.007,1.657,0.1193,77.596,80.246,rough,0.01,9.5,69.4,64.1,1.0799,-0.0202,0.662,ok,avanzando en rough
1310,64.2,65.5,63.5,67.1,71.2,65.5,70.4,63.1,-1.26,-0.0,9.84,0.06,3384.217,-0.063,2.886,0.0502,77.646,80.296,rough,0,7.3,63.1,65.5,1.0807,-0.0196,0.662,ok,avanzando en rough
1311,70.9,66.9,64.6,71.8,62.9,66.8,60.1,67.9,-0.035,-0.0,9.822,0.044,3546.382,-0.009,1.225,0.0502,77.696,80.346,rough,0,0.2,67.9,60.1,1.0815,-0.019,0.662,ok,avanzando en rough
1312,66.6,67.5,61.4,65.7,71.6,66.3,67.5,67.3,0.038,-0.0,9.78,0.017,-1750.988,0.015,0.084,0.0502,77.746,80.397,carpet,0.0,0.2,66.6,67.5,1.0823,-0.0184,0.662,ok,avanzando en carpet
1313,69.9,73.5,69.0,67.3,67.0,71.0,67.8,68.2,1.016,-0.0,9.782,0.029,83.776,-0.02,0.978,0.1005,77.847,80.497,rough,0,5.9,68.2,67.8,1.0839,-0.0171,0.662,ok,avanzando en rough
1314,67.4,65.0,61.2,73.5,64.6,57.2,68.1,68.0,-1.157,-0.0,9.78,0.021,4919.8,-0.009,2.173,0.0502,77.897,80.547,rough,0,6.7,67.4,65.0,1.0847,-0.0165,0.662,ok,avanzando en rough
1315,63.0,68.5,67.0,67.1,66.7,66.2,64.7,68.3,-0.069,0.0,9.797,0.019,-2432.498,0.026,1.088,0.0502,77.947,80.598,rough,0,0.4,63.0,64.7,1.0855,-0.0159,0.662,ok,avanzando en rough
1316,66.4,68.3,70.1,68.6,68.3,65.3,65.8,72.0,0.037,-0.0,9.813,0.008,-2521.511,-0.011,0.107,0.0502,77.998,80.648,metal,0,0.2,66.4,65.8,1.0863,-0.0153,0.662,ok,avanzando en metal
1317,70.8,67.1,66.3,71.3,69.0,63.7,64.3,72.7,1.401,0.0,9.788,0.009,63.41,-0.023,1.364,0.1193,78.117,80.767,rough,0.01,8.1,70.8,64.3,1.0881,-0.0138,0.662,ok,avanzando en rough
1318,63.1,70.2,63.7,67.7,61.0,66.4,60.6,66.1,-1.627,-0.0,9.825,0.005,6797.746,-0.006,3.027,0.0502,78.167,80.817,rough,0,9.4,63.1,60.6,1.0889,-0.0132,0.662,ok,avanzando en rough
1319,57.6,67.6,72.5,64.3,62.8,66.9,65.0,69.8,-0.109,0.0,9.768,0.027,-3369.769,0.043,1.519,0.0502,78.217,80.868,rough,0,0.6,57.6,65.0,1.0897,-0.0126,0.662,ok,avanzando en rough
1320,63.7,71.7,67.0,62.5,76.1,68.2,63.3,68.1,0.038,-0.0,9.832,-0.004,-3515.486,-0.01,0.16,0.0502,78.268,80.918,metal,0,0.2,63.7,63.3,1.0905,-0.012,0.662,ok,avanzando en metal
1321,69.9,67.6,71.3,67.5,67.8,63.5,67.5,61.9,1.351,0.0,9.869,-0.001,1707.041,-0.036,1.313,0.1193,78.387,81.037,rough,0.01,7.8,61.9,67.5,1.0924,-0.0105,0.662,ok,avanzando en rough
1322,70.4,70.1,67.0,64.9,66.5,66.2,70.3,69.3,-1.407,-0.0,9.775,-0.004,-52.038,0.007,2.759,0.0502,78.437,81.087,rough,0,8.2,69.3,70.1,1.0932,-0.0099,0.662,ok,avanzando en rough
1323,66.4,62.2,72.9,68.1,71.1,72.7,67.8,65.3,-0.027,-0.0,9.794,-0.003,-96.541,-0.004,1.38,0.0502,78.487,81.138,rough,0,0.2,65.3,62.2,1.094,-0.0093,0.662,ok,avanzando en rough
1324,69.8,65.8,69.1,63.0,68.2,68.2,65.5,68.7,-0.021,0.0,9.796,-0.002,-135.053,-0.003,0.006,0.0502,78.538,81.188,carpet,0.0,0.1,68.7,65.5,1.0948,-0.0086,0.662,ok,avanzando en carpet
