step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
41,64.7,67.9,66.9,72.1,59.6,70.3,68.0,68.5,0.006,-0.0,9.755,-0.0,71.389,0.0,0.08,0.1005,3.567,3.567,carpet,0,0.0,64.7,67.9,ok,avanzando en carpet a 50% slip=0
42,69.6,65.3,62.0,70.0,69.9,64.9,67.5,68.5,0.003,-0.0,9.908,-0.0,80.596,0.0,0.153,0.1005,3.668,3.668,metal,0,0.0,68.5,65.3,ok,avanzando en carpet a 50% slip=0
43,61.6,68.1,63.6,65.8,69.4,63.9,71.9,68.1,-0.001,-0.0,9.82,-0.0,84.66,0.0,0.088,0.1005,3.768,3.768,carpet,0.0,0.0,61.6,68.1,ok,avanzando en carpet a 50% slip=0
44,65.7,60.8,70.2,66.9,69.0,66.0,70.2,67.7,-0.004,-0.0,9.773,0.0,84.024,0.0,0.047,0.1005,3.868,3.868,carpet,0,0.0,65.7,60.8,ok,avanzando en carpet a 50% slip=0
45,62.6,66.9,70.3,74.1,71.6,65.3,68.6,62.3,-0.007,-0.0,9.787,0.0,78.053,0.0,0.014,0.0942,3.963,3.963,carpet,0.062,0.0,62.3,66.9,ok,avanzando en carpet a 50% slip=0
46,70.9,68.5,67.5,67.1,64.2,70.6,69.5,69.5,-0.01,-0.0,9.852,0.0,67.778,0.0,0.065,0.1005,4.063,4.063,carpet,0.0,0.1,69.5,68.5,ok,avanzando en carpet a 50% slip=0
47,72.7,67.8,68.3,63.8,71.6,58.7,70.3,63.8,-0.012,-0.0,9.87,0.0,53.422,-0.0,0.018,0.1005,4.164,4.164,carpet,0,0.1,63.8,67.8,ok,avanzando en carpet a 50% slip=0
48,70.5,63.2,66.7,64.6,72.2,65.4,67.2,69.3,-0.014,-0.0,9.772,0.0,35.387,-0.0,0.098,0.1005,4.264,4.264,carpet,0,0.1,69.3,63.2,ok,avanzando en carpet a 50% slip=0
49,67.8,65.4,72.4,63.9,62.6,71.7,66.3,72.8,-0.015,-0.0,9.787,0.0,15.584,-0.0,0.015,0.1005,4.365,4.365,carpet,0,0.1,67.8,65.4,ok,avanzando en carpet a 50% slip=0
50,72.6,68.4,69.3,69.5,65.4,66.1,60.5,68.9,-0.014,-0.0,9.847,0.0,-5.056,-0.0,0.06,0.1005,4.465,4.465,carpet,0,0.1,68.9,60.5,ok,avanzando en carpet a 50% slip=0
51,67.4,68.5,71.3,70.9,67.2,65.5,66.8,65.4,-0.013,-0.0,9.797,0.0,-25.528,-0.0,0.05,0.1005,4.566,4.566,carpet,0.0,0.1,65.4,66.8,ok,avanzando en carpet a 50% slip=0
52,66.3,67.7,63.7,63.6,59.1,67.3,68.8,73.8,-0.011,0.0,9.757,0.0,-44.33,-0.0,0.04,0.1005,4.666,4.666,carpet,0,0.1,66.3,67.7,ok,avanzando en carpet a 50% slip=0
53,63.7,66.2,68.6,63.3,64.9,64.4,74.0,65.7,-0.009,0.0,9.816,0.0,-60.645,-0.0,0.06,0.1005,4.767,4.767,carpet,0,0.1,63.7,66.2,ok,avanzando en carpet a 50% slip=0
54,68.0,70.3,64.1,69.7,64.6,67.8,63.9,62.1,-0.006,0.0,9.806,0.0,-73.798,-0.0,0.01,0.1005,4.867,4.867,carpet,0,0.0,62.1,63.9,ok,avanzando en carpet a 50% slip=0
55,61.8,66.5,68.3,68.7,67.2,66.9,69.2,66.3,-0.002,0.0,9.776,0.0,-81.764,-0.0,0.031,0.1005,4.967,4.967,carpet,0,0.0,61.8,66.5,ok,avanzando en carpet a 50% slip=0
56,65.9,70.9,65.0,65.2,67.1,66.3,68.5,69.0,0.001,0.0,9.841,0.0,-85.023,-0.0,0.065,0.1005,5.068,5.068,carpet,0,0.0,65.9,68.5,ok,avanzando en carpet a 50% slip=0
57,65.2,66.9,69.3,64.1,64.8,65.9,68.9,69.0,0.005,0.0,9.787,0.0,-83.805,-0.0,0.053,0.1005,5.168,5.168,carpet,0,0.0,65.2,66.9,ok,avanzando en carpet a 50% slip=0
58,70.0,71.7,67.2,67.9,62.5,69.8,72.8,68.0,0.008,0.0,9.79,0.0,-77.043,-0.0,0.004,0.1005,5.269,5.269,carpet,0.0,0.0,68.0,71.7,ok,avanzando en carpet a 50% slip=0
59,64.3,67.1,62.2,67.9,67.2,70.0,66.3,67.5,0.011,0.0,9.822,0.0,-65.608,-0.0,0.032,0.1005,5.369,5.369,carpet,0,0.1,64.3,66.3,ok,explorando (carpet)
